variable,resolution,n_valid_pixels,min_km,max_km,mean_km,std_km,p5_km,p25_km,median_km,p75_km,p95_km
Distance to Roads,native_1km,4160768,0.0,260.08124,5.6016307,22.429562,0.0,0.27243220061063766,1.0,2.528285503387451,15.213610696792596
Distance to Railways,native_1km,4160768,0.0,1609.9918,37.441895,80.39895,1.0264196634292602,6.2875916957855225,15.679942607879639,34.62582588195801,157.4957481384277
Distance to Waterways,native_1km,4160768,0.0,385.57343,6.6818323,21.801346,0.005757908476516605,0.6365548372268677,1.6758466958999634,3.7985624074935913,25.85655717849727
Distance to Roads,comparison_025deg,5064,0.027125278,243.71355,6.6453667,24.842329,0.3757044732570648,0.7425950318574905,1.258309006690979,2.4907668232917786,20.813287639617723
Distance to Railways,comparison_025deg,5064,0.21526833,1603.6986,51.012234,138.35553,4.147176623344421,7.032747149467468,15.325011730194092,37.12611103057861,213.07907104492185
Distance to Waterways,comparison_025deg,5064,0.0,384.887,7.899184,26.762266,0.7059383600950241,1.370765596628189,1.9910439848899841,3.211563229560852,34.44506244659412
